Match,Home Team,Away Team,First Half Score,Second Half Score,Ball Possession Home,Ball Possession Away,Goal Attempts Home,Goal Attempts Away,Shots on Goal Home,Shots on Goal Away,Shots off Goal Home,Shots off Goal Away,Blocked Shots Home,Blocked Shots Away,Free Kicks Home,Free Kicks Away,Corner Kicks Home,Corner Kicks Away,Offsides Home,Offsides Away,Throw-in Home,Throw-in Away,Goalkeeper Saves Home,Goalkeeper Saves Away,Fouls Home,Fouls Away,Yellow Cards Home,Yellow Cards Away,Total Passes Home,Total Passes Away,Completed Passes Home,Completed Passes Away,Tackles Home,Tackles Away,Attacks Home,Attacks Away,Event,Minute,Event/Player,Type/Assist,Goal Status
Chelsea VS Manchester Utd,Chelsea,Manchester Utd,0 - 0,1 - 1,48%,52%,6,13,2,6,3,6,1,1,12,9,6,4,2,3,20,25,5,1,8,10,1,4,413,463,312,358,11,18,107,113,Home Event_1,36, Kovacic M., Cucurella M.,
Everton VS Crystal Palace,Everton,Crystal Palace,1 - 0,2 - 0,46%,54%,9,9,6,2,1,4,2,3,16,17,3,4,1,2,29,22,2,3,16,14,3,4,378,438,308,371,26,19,110,75,Home Event_1,11, Calvert-Lewin D., Iwobi A., False
Manchester City VS Brighton,Manchester City,Brighton,2 - 0,1 - 1,48%,52%,10,8,4,2,3,3,3,3,14,10,6,3,0,4,9,20,1,1,11,12,1,3,428,466,352,394,13,16,92,85,Home Event_1,22, Haaland E., Ederson, False
Nottingham VS Liverpool,Nottingham,Liverpool,0 - 0,1 - 0,25%,75%,10,15,7,7,1,7,2,1,7,17,2,11,3,0,13,30,7,6,14,8,2,1,227,691,144,586,19,14,65,128,Home Event_1,55, Awoniyi T., Not assisted, False
Leicester VS Leeds,Leicester,Leeds,2 - 0,0 - 0,47%,53%,5,14,1,2,1,8,3,4,13,16,2,9,4,2,17,29,2,0,15,11,2,1,461,518,361,406,26,30,99,115,Home Event_1,16, Koch R., NA, True
Fulham VS Aston Villa,Fulham,Aston Villa,1 - 0,2 - 0,61%,39%,18,12,8,6,5,3,5,3,9,11,9,7,0,3,23,17,6,6,11,11,0,1,0,2,482,311,413,241,12,14,Home Event_1,36, Reed H., Not assisted, False
Manchester Utd VS Tottenham,Manchester Utd,Tottenham,0 - 0,2 - 0,52%,48%,28,9,10,2,9,5,9,2,5,12,8,3,4,0,17,15,2,8,7,7,1,0,583,528,498,445,17,12,134,95,Home Event_1,47, Fred, Sancho J., False
Bournemouth VS Southampton,Bournemouth,Southampton,0 - 1,0 - 0,53%,47%,15,9,3,3,8,2,4,4,11,10,7,3,2,0,24,19,2,3,8,13,1,3,529,464,433,376,13,23,138,101,Home Event_1,43, False, Unsportsmanlike conduct,
Brentford VS Chelsea,Brentford,Chelsea,0 - 0,0 - 0,34%,66%,8,14,5,5,2,3,1,6,6,9,6,2,2,0,19,23,5,5,7,7,317,656,220,559,19,17,88,130,53,81,Home Event_1,60, Baptiste S., Onyeka F.,
Liverpool VS West Ham,Liverpool,West Ham,1 - 0,0 - 0,54%,46%,22,8,7,3,8,4,7,1,8,8,8,3,1,0,21,22,3,6,9,8,600,510,511,412,13,15,124,95,42,39,Home Event_1,22, Nunez D., Tsimikas K., False
Newcastle VS Everton,Newcastle,Everton,1 - 0,0 - 0,50%,50%,16,1,4,0,9,1,3,0,12,9,8,2,0,3,21,29,0,3,9,12,2,4,392,412,301,314,21,18,94,100,Home Event_1,24, False, Tripping,
Crystal Palace VS Wolves,Crystal Palace,Wolves,0 - 1,2 - 0,51%,49%,14,10,4,4,5,5,5,1,18,14,4,2,0,4,23,16,3,2,14,18,3,1,449,428,370,340,23,29,107,92,Home Event_1,39, False, Roughing,
Brighton VS Nottingham,Brighton,Nottingham,0 - 0,0 - 0,70%,30%,19,3,7,0,7,3,5,0,11,11,9,1,1,0,29,20,0,7,10,14,3,1,623,260,541,176,11,13,125,51,Home Event_1,54, False, Roughing,
Liverpool VS Manchester City,Liverpool,Manchester City,0 - 0,1 - 0,37%,63%,13,16,2,6,8,4,3,6,6,13,5,6,3,0,14,19,6,1,10,7,3,1,407,702,313,616,23,20,67,137,Home Event_1,63, False, Tripping,
Aston Villa VS Chelsea,Aston Villa,Chelsea,0 - 1,0 - 1,41%,59%,18,8,7,4,7,3,4,1,12,16,7,1,3,1,25,21,2,7,12,11,0,3,353,548,274,460,24,9,95,112,Home Event_1,66, Buendia E., Bailey L.,
Leeds VS Arsenal,Leeds,Arsenal,0 - 1,0 - 0,47%,53%,16,9,4,4,5,2,7,3,8,10,6,3,4,0,21,20,3,4,10,11,0,2,428,500,328,415,25,17,91,106,Home Event_1,46, Bamford P., Rodrigo,
Manchester Utd VS Newcastle,Manchester Utd,Newcastle,0 - 0,0 - 0,63%,37%,15,9,2,2,8,5,5,2,10,13,4,4,2,0,13,16,2,2,13,11,3,1,512,301,413,214,18,13,99,84,Home Event_1,49, False, Unsportsmanlike conduct,
Southampton VS West Ham,Southampton,West Ham,1 - 0,0 - 1,39%,61%,10,25,8,4,1,9,1,12,3,6,4,14,1,0,19,20,3,7,7,3,1,1,323,488,234,391,13,21,103,102,Home Event_1,20, Perraud R., Not assisted, False
Tottenham VS Everton,Tottenham,Everton,0 - 0,2 - 0,62%,38%,21,4,7,0,6,3,8,1,12,12,7,1,0,0,21,9,0,5,12,13,1,4,583,367,514,300,8,15,129,69,Home Event_1,37, False, Tripping,
Fulham VS Bournemouth,Fulham,Bournemouth,1 - 2,1 - 0,69%,31%,19,10,4,6,8,4,7,0,9,9,5,6,1,0,22,15,4,2,9,11,2,0,585,268,494,182,12,14,123,75,Home Event_1,22, Diop I., Pereira A., False
